Date,Open,High,Low,Close,Volume
01.05.2018 00:00:00.000,24189.969,24212.470,24173.469,24195.469,8.3339
01.05.2018 01:00:00.000,24196.470,24215.969,24191.969,24207.969,6.706
01.05.2018 02:00:00.000,24208.470,24212.470,24198.469,24199.470,2.8331
01.05.2018 03:00:00.000,24198.970,24203.970,24188.969,24192.470,2.4877
01.05.2018 04:00:00.000,24191.970,24206.470,24189.469,24198.969,3.7743
01.05.2018 05:00:00.000,24199.470,24230.469,24197.970,24217.970,4.8132
01.05.2018 06:00:00.000,24217.470,24217.470,24163.469,24166.970,5.1064
01.05.2018 07:00:00.000,24167.969,24197.070,24164.570,24165.569,9.4652
01.05.2018 08:00:00.000,24166.069,24166.070,24109.069,24109.570,8.6747
01.05.2018 09:00:00.000,24110.070,24135.569,24104.069,24131.070,7.2446
01.05.2018 10:00:00.000,24131.569,24169.570,24103.069,24152.070,9.0351
01.05.2018 11:00:00.000,24151.569,24183.070,24137.069,24145.569,12.069
01.05.2018 12:00:00.000,24145.069,24153.070,24129.069,24139.569,12.3608
01.05.2018 13:00:00.000,24139.069,24140.069,23984.670,24028.170,35.1775
01.05.2018 14:00:00.000,24024.170,24024.170,23882.670,23896.669,29.6952
01.05.2018 15:00:00.000,23896.669,23922.669,23849.670,23854.669,23.5447
01.05.2018 16:00:00.000,23853.669,23915.169,23840.170,23879.170,40.8273
01.05.2018 17:00:00.000,23878.670,23960.669,23803.669,23959.670,39.741
01.05.2018 18:00:00.000,23961.169,24077.669,23953.670,24050.669,41.3074
01.05.2018 19:00:00.000,24048.669,24098.670,23971.169,24090.669,45.9632
01.05.2018 20:00:00.000,24089.669,24127.670,24077.169,24117.169,6.0176
01.05.2018 22:00:00.000,24149.469,24154.970,24129.970,24142.469,3.2263
01.05.2018 23:00:00.000,24141.970,24145.470,24114.470,24139.970,3.7683
02.05.2018 00:00:00.000,24140.470,24140.470,24018.970,24079.469,13.1567
02.05.2018 01:00:00.000,24079.969,24102.970,24059.470,24061.470,10.668
02.05.2018 02:00:00.000,24060.969,24066.970,24045.969,24063.970,7.0569
02.05.2018 03:00:00.000,24064.469,24071.970,24060.970,24066.970,3.6498
02.05.2018 04:00:00.000,24067.470,24091.469,24064.469,24073.470,4.2462
02.05.2018 05:00:00.000,24073.970,24100.969,24072.970,24098.969,3.9567
02.05.2018 06:00:00.000,24099.469,24110.470,24081.970,24088.470,8.9526
02.05.2018 07:00:00.000,24089.970,24105.570,24073.069,24094.569,15.6949
02.05.2018 08:00:00.000,24095.070,24132.569,24094.070,24132.569,11.4206
02.05.2018 09:00:00.000,24132.070,24167.070,24131.069,24151.070,8.8641
02.05.2018 10:00:00.000,24150.069,24154.070,24104.070,24142.570,11.5366
02.05.2018 11:00:00.000,24142.070,24165.070,24117.570,24121.069,11.893
02.05.2018 12:00:00.000,24120.570,24140.069,24064.070,24084.570,16.8264
02.05.2018 13:00:00.000,24084.070,24102.670,24014.669,24018.670,38.3525
02.05.2018 14:00:00.000,24021.669,24060.669,23998.669,24034.170,48.7592
